Name,Street,Suburb,City,Region,Longitude,Latitude
Te Kura o Te Kao,6603 Far North Road,,Te Kao,Northland,172.965949,-34.654705
Taipa Area School,578 State Highway 10,,Taipa,Northland,173.464303,-34.994702
Kaitaia College,53 Redan Road,,Kaitaia,Northland,173.258701,-35.121315
Whangaroa College,4157 State Highway 10,,Kaeo,Northland,173.786951,-35.100854
Kerikeri High School,48 Hone Heke Road,,Kerikeri,Northland,173.95539,-35.228346
Broadwood Area School,1041 Broadwood Road,,Broadwood,Northland,173.394991,-35.26124
Okaihau College,58 Settlers Way,,Okaihau,Northland,173.765765,-35.323752
Bay of Islands College,1-9 Derrick Road,,Kawakawa,Northland,174.075903,-35.379495
Northland College,62 Mangakahia Road,,Kaikohe,Northland,173.809918,-35.413881
Te Kura Taumata o Panguru,2178 West Coast Road,,Panguru,Northland,173.383069,-35.38052
Opononi Area School,263 State Highway 12,Omapere,Kaikohe,Northland,173.390213,-35.528548
Tauraroa Area School,398 Tauraroa Road,,Maungakaramea,Northland,174.21817,-35.873062
Kamo High School,5 Wilkinson Avenue,Kamo,Whangarei,Northland,174.302814,-35.684386
Tikipunga High School,194 Corks Road,Tikipunga,Whangarei,Northland,174.328318,-35.683551
Whangarei Boys' High School,10 Kent Road,,Whangarei,Northland,174.31838,-35.716109
Whangarei Girls' High School,1 Lupton Avenue,Regent,Whangarei,Northland,174.319551,-35.713282
Pompallier Catholic College,State Highway 14,Maunu,Whangarei,Northland,174.275714,-35.744857
Mangakahia Area School,Mangakahia Road,Titoki,Whangarei,Northland,174.058781,-35.732271
Dargaville High School,Plunket Street,,Dargaville,Northland,173.868057,-35.931684
Bream Bay College,Peter Snell Road,,Ruakaka,Northland,174.455785,-35.876072
Otamatea High School,Bickerstaffe Road,,Maungaturoto,Northland,174.36526,-36.117224
Ruawai College,4375 State Highway 12,,Ruawai,Northland,174.011674,-36.122564
Rodney College,287 Rodney Street,,Wellsford,Auckland,174.520832,-36.288153
Mahurangi College,Woodcocks Road,,Warkworth,Auckland,174.655545,-36.40651
Orewa College,Riverside Road,,Orewa,Auckland,174.689748,-36.591691
Kaipara College,Rautawhiri Road,,Helensville,Auckland,174.459139,-36.680149
Long Bay College,Ashley Avenue,Torbay,Auckland,Auckland,174.738758,-36.691388
Rangitoto College,564 East Coast Road,Browns Bay,Auckland,Auckland,174.736685,-36.73719
Kristin School,360 Albany Highway,Albany,Auckland,Auckland,174.692244,-36.742982
Glenfield College,Kaipatiki Road,Glenfield,Auckland,Auckland,174.714954,-36.779794
Birkenhead College,140 Birkdale Road,Birkenhead,Auckland,Auckland,174.701152,-36.799168
Northcote College,Kauri Glen Road,Northcote,Auckland,Auckland,174.733678,-36.808874
Carmel College,108 Shakespeare Road,Milford,Auckland,Auckland,174.756742,-36.779169
Takapuna Grammar School,210 Lake Road,Takapuna,Auckland,Auckland,174.788478,-36.800609
Westlake Boys' High School,Forrest Hill Road,Takapuna,Auckland,Auckland,174.749492,-36.777359
Westlake Girls' High School,2 Wairau Road,Takapuna,Auckland,Auckland,174.75231,-36.782451
Rosmini College,36 Dominion Street,Takapuna,Auckland,Auckland,174.760146,-36.792436
Rutherford College,Kotuku Street,Te Atatu,Auckland,Auckland,174.64631,-36.852583
Macleans College,Macleans Road,Bucklands Beach,Auckland,Auckland,174.914425,-36.882715
Green Bay High School,143-161 Godley Road,Green Bay,Auckland,Auckland,174.669396,-36.930943
Massey High School,274 Don Buck Road,Massey,Auckland,Auckland,174.601694,-36.841873
Waitakere College,Rathgar Road,Henderson,Auckland,Auckland,174.620713,-36.86709
Henderson High School,Henderson Valley Road,Henderson,Auckland,Auckland,174.628206,-36.883649
Liston College,69 Rathgar Road,Henderson,Auckland,Auckland,174.62316,-36.866057
St Dominic's Catholic College (Henderson),29 Rathgar Road,Henderson,Auckland,Auckland,174.621072,-36.868851
Western Springs College,Motions Road,Western Springs,Auckland,Auckland,174.717536,-36.861969
Selwyn College,Kohimarama Road,Kohimarama,Auckland,Auckland,174.838552,-36.862323
St Mary's College (Ponsonby),11 New Street,Ponsonby,Auckland,Auckland,174.748235,-36.845996
St Paul's College (Ponsonby),183 Richmond Road,Ponsonby,Auckland,Auckland,174.73779,-36.854449
Tyndale Park Christian School,206 Murphys Road,Flat Bush,Manukau,Auckland,174.92224,-36.974539
Auckland Girls' Grammar School,Howe Street,Newton,Auckland,Auckland,174.753651,-36.857013
Auckland Grammar,Mountain Road,Epsom,Auckland,Auckland,174.768851,-36.869407
Tamaki College,Elstree Avenue,Glen Innes,Auckland,Auckland,174.867272,-36.877936
Tangaroa College,Haumia Way,Otara,Auckland,Auckland,174.89291,-36.972898
Sacred Heart College (Auckland),250 West Tamaki Road,Glendowie,Auckland,Auckland,174.872414,-36.868887
Saint Kentigern Girls' School,514 Remuera Road,Remuera,Auckland,Auckland,174.805239,-36.880966
Baradene College,237 Victoria Avenue,Remuera,Auckland,Auckland,174.800325,-36.865636
St Peter's College (Epsom),Mountain Road,Grafton,Auckland,Auckland,174.769674,-36.86778
Marcellin College,617 Mt Albert Road,Royal Oak,Auckland,Auckland,174.766436,-36.910123
Epsom Girls Grammar School,Silver Road,Epsom,Auckland,Auckland,174.774124,-36.876422
Glendowie College,Crossfield Road,Glendowie,Auckland,Auckland,174.868138,-36.862571
Dilworth School,2 Erin Street,Remuera,Auckland,Auckland,174.781063,-36.880296
Diocesan School For Girls,Clyde Street,Epsom,Auckland,Auckland,174.778297,-36.88047
St Cuthbert's College (Epsom),Market Road,Epsom,Auckland,Auckland,174.778251,-36.887574
Mt Albert Grammar School,36 Alberton Ave,Mount Albert,Auckland,Auckland,174.72535,-36.8847
Marist College,31 Alberton Avenue,Mount Albert,Auckland,Auckland,174.726133,-36.881931
Mt Roskill Grammar,Frost Road,Mount Roskill,Auckland,Auckland,174.74714,-36.912701
Lynfield College,White Swan Road,Mount Roskill,Auckland,Auckland,174.715437,-36.921028
Bethlehem College,Elder Lane,Bethlehem,Tauranga,Bay of Plenty,176.111231,-37.704967
Avondale College,Victor Street,Avondale,Auckland,Auckland,174.691138,-36.891475
Edgewater College,32 Edgewater Drive,Pakuranga,Auckland,Auckland,174.874746,-36.9225
Pakuranga College,Pigeon Mountain Road,Bucklands Beach,Auckland,Auckland,174.901772,-36.897623
Saint Kentigern College,130 Pakuranga Road,Pakuranga,Auckland,Auckland,174.875036,-36.909705
Aidanfield Christian School,2 Nash Road,Aidanfield,Christchurch,Canterbury,172.570992,-43.563766
Kelston Boys' High School,Archibald Road,New Lynn,Auckland,Auckland,174.666887,-36.898778
Kelston Girls' College,Great North Road,New Lynn,Auckland,Auckland,174.664362,-36.908056
One Tree Hill College,421 Great South Road,Penrose,Auckland,Auckland,174.806961,-36.902818
Onehunga High School,24 Pleasant Street,Onehunga,Auckland,Auckland,174.770963,-36.919494
Howick College,Sandspit Road,Howick South,Auckland,Auckland,174.939279,-36.906563
Otahuhu College,Mangere Road,Otahuhu,Auckland,Auckland,174.840646,-36.953111
King's College,Golf Avenue,Otahuhu,Auckland,Auckland,174.837267,-36.959795
McAuley High School,26 High Street,Otahuhu,Auckland,Auckland,174.847353,-36.944401
Mangere College,23 Bader Drive,Mangere,Auckland,Auckland,174.79159,-36.959611
Auckland Seventh-Day Adventist H S,119 Mountain Road,Mangere Bridge,Auckland,Auckland,174.785003,-36.956386
De La Salle College,81 Gray Avenue,Mangere East,Auckland,Auckland,174.837764,-36.964799
Papatoetoe High School,Nicholson Avenue,Papatoetoe,Auckland,Auckland,174.871806,-36.975516
Aorere College,Portage Road,Papatoetoe,Auckland,Auckland,174.833082,-36.981409
Sir Edmund Hillary Collegiate Senior School,2 Franklyne Road,Otara,Auckland,Auckland,174.875531,-36.951268
Manurewa High School,67 Browns Road,Manurewa,Auckland,Auckland,174.882303,-37.011246
James Cook High School,Dr Pickering Avenue,Manurewa,Auckland,Auckland,174.885979,-37.034974
Papakura High School,Willis Road,,Papakura,Auckland,174.950802,-37.062938
Rosehill College,5 Edinburgh Avenue,,Papakura,Auckland,174.93656,-37.076578
Pukekohe High School,Harris Street,,Pukekohe,Auckland,174.905826,-37.204545
Wesley College,State Highway 22,,Pukekohe,Auckland,174.890164,-37.148286
Waiuku College,Constable Road,,Waiuku,Auckland,174.725724,-37.251012
Tuakau College,Elizabeth Street,,Tuakau,Waikato,174.934261,-37.263016
Onewhero Area School,Hall Road,Onewhero,Tuakau,Waikato,174.916277,-37.332151
Coromandel Area School,Woollams Avenue,,Coromandel,Waikato,175.500032,-36.759259
Mercury Bay Area School,South Highway,,Whitianga,Waikato,175.698103,-36.84124
Thames High School,300 Sealey Street,,Thames,Waikato,175.54488,-37.139539
Hauraki Plains College,Kaihere Road,,Ngatea,Waikato,175.49868,-37.276611
Paeroa College,Te Aroha Road,,Paeroa,Waikato,175.669282,-37.38543
Waihi College,Kensington Road,,Waihi,Waikato,175.831151,-37.386206
Te Kauwhata College,Waerenga Road,,Te Kauwhata,Waikato,175.149297,-37.400583
Te Aroha College,106 Stanley Avenue,,Te Aroha,Waikato,175.693305,-37.541897
Katikati College,Beach Road,,Katikati,Bay of Plenty,175.92178,-37.552917
Mt Maunganui College,Maunganui Road,,Mount Maunganui,Bay of Plenty,176.207105,-37.662769
Huntly College,Bridge Street,,Huntly,Waikato,175.152261,-37.562089
Otumoetai College,Windsor Road,Tauranga Central,Tauranga,Bay of Plenty,176.129107,-37.678747
Tauranga Boys' College,664 Cameron Road,,Tauranga,Bay of Plenty,176.156216,-37.702133
Tauranga Girls' College,930 Cameron Road,Gate Pa,Tauranga,Bay of Plenty,176.14496,-37.71236
Te Puke High School,Tui Street,,Te Puke,Bay of Plenty,176.318222,-37.788252
Matamata College,Firth Street,,Matamata,Waikato,175.770385,-37.816269
Raglan Area School,Norrie Avenue,,Raglan,Waikato,174.866613,-37.807411
Morrinsville College,Alexandra Avenue,,Morrinsville,Waikato,175.534069,-37.650826
Ngaruawahia High School,Kent Street,,Ngaruawahia,Waikato,175.158666,-37.660033
Fairfield College,Bankwood Road,Fairfield,Hamilton,Waikato,175.276552,-37.761714
St Paul's Collegiate (Hamilton),77 Hukanui Road,Chartwell,Hamilton,Waikato,175.282196,-37.75924
Hamilton Boys' High School,Peachgrove Road,,Hamilton,Waikato,175.294802,-37.784981
Hamilton Girls' High School,Ward Street,,Hamilton,Waikato,175.277353,-37.789055
Raphael House Rudolf Steiner Area School,27 Matuhi Street,Belmont,Lower Hutt,Wellington,174.907708,-41.196221
Flaxmere College,Henderson Road,Flaxmere,Hastings,Hawke's Bay,176.788803,-39.623992
Fraser High School,72 Ellicott Road,Dinsdale,Hamilton,Waikato,175.244737,-37.784276
St John's College (Hillcrest),85 Hillcrest Road,Hillcrest,Hamilton,Waikato,175.317502,-37.791332
Melville High School,Collins Road,Glenview,Hamilton,Waikato,175.28074,-37.816911
Hillcrest High School,Masters Avenue,Hillcrest,Hamilton,Waikato,175.32629,-37.793276
Sacred Heart Girls' College (Ham),52 Clyde Street,Hamilton East,Hamilton,Waikato,175.295281,-37.791578
Waikato Diocesan School For Girls,660 River Road,,Hamilton,Waikato,175.267809,-37.76449
St Peter's School (Cambridge),1716 Cambridge Road,,Cambridge,Waikato,175.428899,-37.890548
Cambridge High School,Swayne Road,,Cambridge,Waikato,175.470879,-37.878109
Trident High School,Arawa Road,,Whakatane,Bay of Plenty,176.975958,-37.973476
Whakatane High School,Goulstone Road,,Whakatane,Bay of Plenty,176.985795,-37.96239
Edgecumbe College,100 College Road,,Edgecumbe,Bay of Plenty,176.827538,-37.967928
Te Awamutu College,938 Alexandra Street,,Te Awamutu,Waikato,175.314938,-38.006308
Opotiki College,St John Street,,Opotiki,Bay of Plenty,177.288104,-38.013128
